,course_name,course_url,course_photo,course_level,course_effort,course_length,course_language,course_subtitle,course_price,course_partner,university_link,course_enrollments
305,Fiber OpticCommunications…,https://www.edx.org/course/fiber-optic-communications,https://prod-discovery.edx-cdn.org/media/course/image/0eec57b5-71b0-43ea-89b0-8c3661c5bdd9-626d4b9d827c.png,['Advanced'],['7–9 hours per week'],['5 Weeks'],['English'],['English'],['$750 USD'],['Purdue University'],['https://www.edx.org/school/purduex'],not-mentioned
306,Introductory Physics —Part 1: Mechanics andWaves…,https://www.edx.org/course/introductory-physics-part-1-mechanics-and-waves,https://prod-discovery.edx-cdn.org/media/course/image/0d9e29c6-d2db-4ae9-8533-e82d91b97586-754e2e3b3f12.jpg,['Introductory'],[],['4 Weeks'],['English'],"['English', 'English']",[],['Seoul National University'],['https://www.edx.org/school/snux'],not-mentioned
307,Topology in CondensedMatter: Tying QuantumKnots…,https://www.edx.org/course/topology-in-condensed-matter-tying-quantum-knots,https://prod-discovery.edx-cdn.org/media/course/image/c5ff943e-49d1-4e5d-a501-776c079912da-ebf71fed0c44.jpg,['Intermediate'],['3–6 hours per week'],['12 Weeks'],['English'],['English'],['$50 USD'],['Delft University of Technology'],['https://www.edx.org/school/delftx'],not-mentioned
308,Waves & Optics…,https://www.edx.org/course/waves-optics,https://prod-discovery.edx-cdn.org/media/course/image/5a69547a-30a4-4e3d-adcc-a8cdabb74e8b-c01c9454f660.jpg,['Intermediate'],[],['4 Weeks'],['English'],"['English', 'English']",['$50 USD'],['Rice University'],['https://www.edx.org/school/ricex'],not-mentioned
309,Genomic Medicine GetsPersonal…,https://www.edx.org/course/genomic-medicine-gets-personal,https://prod-discovery.edx-cdn.org/media/course/image/afa64501-8417-4ef8-841d-42f41457192b.jpg,['Introductory'],['6–10 hours per week'],['4 Weeks'],['English'],['English'],['$25 USD'],['Georgetown University'],['https://www.edx.org/school/georgetownx'],not-mentioned
310,Applications of QuantumMechanics…,https://www.edx.org/course/applications-of-quantum-mechanics,https://prod-discovery.edx-cdn.org/media/course/image/cf2b80cf-5e43-42d3-8b88-d8fa64160a3c-c983424415db.jpg,['Advanced'],['12–16 hours per week'],['19 Weeks'],['English'],['English'],['$99 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
311,"Electricity andMagnetism, Part 1…",https://www.edx.org/course/electricity-and-magnetism-part-1,https://prod-discovery.edx-cdn.org/media/course/image/65ce8239-5294-4b06-84e8-e358d2b5cce2-0f5def0e298f.jpg,['Introductory'],['8–10 hours per week'],['7 Weeks'],['English'],['English'],['$49 USD'],['Rice University'],['https://www.edx.org/school/ricex'],not-mentioned
312,Global Warming Science…,https://www.edx.org/course/global-warming-science,https://prod-discovery.edx-cdn.org/media/course/image/0f174567-5608-4e89-9a91-1f4b57909ee8-3db71747841d.jpg,['Intermediate'],['2–4 hours per week'],['14 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
313,Mastering QuantumMechanics Part 2:Quantum Dynamics…,https://www.edx.org/course/mastering-quantum-mechanics-part-2-quantum-dynamic,https://prod-discovery.edx-cdn.org/media/course/image/e22ef2c4-15c0-4290-9355-075a7038b06b-8f1c4b28eef9.jpg,['Intermediate'],['12–13 hours per week'],['5 Weeks'],['English'],['English'],['$50 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
314,"Quantum InformationScience I, Part 2…",https://www.edx.org/course/quantum-information-science-i-part-2,https://prod-discovery.edx-cdn.org/media/course/image/fd385132-d867-41d6-83dc-b372393ecc20-83a8c65f57fc.jpg,['Intermediate'],['11–13 hours per week'],['5 Weeks'],['English'],['English'],['$49 USD'],['Massachusetts Institute of Technology'],['https://www.edx.org/school/mitx'],not-mentioned
315,AP® Physics 2 - Part 2:Electricity andMagnetism…,https://www.edx.org/course/ap-physics-2-part-2-electricity-and-magnetism,https://prod-discovery.edx-cdn.org/media/course/image/be701213-bafb-45fe-b8f6-e217e5f96fb4-ebda0b659a0f.jpg,['Introductory'],['2–4 hours per week'],['4 Weeks'],['English'],['English'],['$49 USD'],['Rice University'],['https://www.edx.org/school/ricex'],not-mentioned
316,Hyperloop: Changing theFuture of Transportation…,https://www.edx.org/course/hyperloop-changing-the-future-of-transportation,https://prod-discovery.edx-cdn.org/media/course/image/82619fc4-74cd-4788-a873-4e7c11b7b288-c3ef8743e5d3.jpg,['Intermediate'],['4–6 hours per week'],['6 Weeks'],['English'],['English'],['$50 USD'],['Delft University of Technology'],['https://www.edx.org/school/delftx'],not-mentioned
317,Modeling Climate Change…,https://www.edx.org/course/modeling-climate-change,https://prod-discovery.edx-cdn.org/media/course/image/9f5c3e80-01da-4afa-a72d-2db0f7370679-098bfe7db8b1.jpg,['Intermediate'],['3–5 hours per week'],['4 Weeks'],['English'],['English'],['$50 USD'],['University of Chicago'],['https://www.edx.org/school/uchicagox'],not-mentioned
